user_snippet,prediction
2066_0,Upstairs
2066_1,Walking
2066_2,Jogging
2066_3,Walking
2066_4,Walking
2066_5,Upstairs
2066_6,Standing
2066_7,Downstairs
2066_8,Jogging
2066_9,Sitting
2066_10,Walking
2066_11,Walking
2066_12,Jogging
2066_13,Jogging
2066_14,Downstairs
2066_15,Walking
2066_16,Upstairs
2066_17,Jogging
2066_18,Walking
2066_19,Walking
2066_20,Sitting
2066_21,Upstairs
2066_22,Downstairs
2066_23,Walking
2066_24,Jogging
2066_25,Downstairs
2066_26,Jogging
2066_27,Jogging
2066_28,Jogging
2066_29,Upstairs
2066_30,Walking
2066_31,Jogging
2066_32,Walking
2066_33,Walking
2066_34,Jogging
2066_35,Walking
2066_36,Walking
2066_37,Walking
2066_38,Jogging
2066_39,Walking
2066_40,Walking
2066_41,Downstairs
2066_42,Jogging
2066_43,Downstairs
2066_44,Walking
2066_45,Jogging
2066_46,Jogging
2066_47,Walking
2066_48,Sitting
2066_49,Walking
2066_50,Downstairs
2066_51,Jogging
2066_52,Sitting
2066_53,Walking
2066_54,Jogging
2066_55,Walking
2066_56,Sitting
2066_57,Walking
2066_58,Walking
2066_59,Jogging
2066_60,Upstairs
2066_61,Sitting
2066_62,Jogging
2066_63,Walking
2066_64,Walking
2066_65,Walking
2066_66,Jogging
2066_67,Upstairs
2066_68,Walking
2066_69,Jogging
2066_70,Downstairs
2066_71,Walking
2066_72,Downstairs
2066_73,Upstairs
2066_74,Jogging
2066_75,Walking
2066_76,Downstairs
2066_77,Upstairs
2066_78,Walking
2066_79,Jogging
2066_80,Jogging
2066_81,Jogging
2066_82,Sitting
2066_83,Sitting
2066_84,Jogging
2066_85,Downstairs
2066_86,Upstairs
2066_87,Upstairs
2066_88,Walking
2066_89,Walking
2066_90,Walking
2066_91,Jogging
2066_92,Jogging
2066_93,Jogging
2066_94,Walking
2066_95,Walking
2066_96,Jogging
2066_97,Walking
2066_98,Jogging
2066_99,Jogging
2066_100,Upstairs
2066_101,Jogging
2066_102,Walking
2066_103,Jogging
2066_104,Jogging
2066_105,Downstairs
2066_106,Upstairs
2066_107,Walking
2066_108,Walking
2066_109,Downstairs
2066_110,Jogging
2066_111,Upstairs
2066_112,Jogging
2066_113,Jogging
2066_114,Downstairs
2066_115,Walking
2066_116,Downstairs
2066_117,Walking
2066_118,Walking
2066_119,Walking
2066_120,Walking
2066_121,Jogging
2066_122,Upstairs
2066_123,Jogging
2066_124,Upstairs
2066_125,Jogging
2066_126,Jogging
2066_127,Standing
2066_128,Walking
2066_129,Jogging
2066_130,Jogging
2066_131,Walking
2066_132,Walking
2066_133,Downstairs
2066_134,Walking
2066_135,Upstairs
2066_136,Walking
2066_137,Jogging
2066_138,Walking
2066_139,Jogging
2066_140,Jogging
2066_141,Upstairs
2066_142,Upstairs
2066_143,Jogging
2066_144,Walking
2066_145,Jogging
2066_146,Standing
